                  High         Low        Open       Close   Volume   Adj Close
Date                                                                           
2020-04-06  126.935204  115.341103  115.341103  126.935204  2104288  126.935204
2020-04-07  136.930099  127.135101  132.132599  136.930099  2564734  136.930099
2020-04-08  137.929596  128.934204  135.730698  134.931107  1678463  134.931107
2020-04-09  140.928101  131.932693  131.932693  139.728699  2119764  139.728699
2020-04-14  154.920898  141.128006  144.925995  154.920898  3487326  154.920898
...                ...         ...         ...         ...      ...         ...
2021-03-26  432.500000  406.000000  414.500000  418.500000  5727624  418.500000
2021-03-29  444.467987  406.000000  425.000000  418.000000  3323145  418.000000
2021-03-30  441.500000  425.000000  430.000000  436.500000  3398810  436.500000
2021-03-31  478.500000  436.500000  447.500000  473.500000  5000284  473.500000
2021-04-01  486.638000  456.399994  481.600006  464.000000  3720378  464.000000

[251 rows x 6 columns]
